date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:58	128/128	---MC-	200	added ('OK')	text/plain	date:Fri,%2025%20Jan%202019%2006:41:22%20GMT	https://www.valleyprepredlands.org/robots.txt		(from )
12:12:00	25214/25214	---MC-	200	added ('OK')	text/html	date:Fri,%2025%20Jan%202019%2006:41:39%20GMT	https://www.valleyprepredlands.org/	C:/My%20Web%20Sites/new%20school/www.valleyprepredlands.org/index.html	(from )
12:12:03	3922/3922	---M--	200	added ('OK')	text/css	etag:%22651a79e641cd0b4239f84f924c0e1b53%22	https://tb2cdn.schoolwebmasters.com/accnt_1/site_13146/CSS/normalize.css	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_1/site_13146/CSS/normalize.css	(from https://www.valleyprepredlands.org/)
12:12:04	682/682	---M--	200	added ('OK')	text/css	etag:%22a3020184409b623efe1edfca627d9a69%22	https://tb2cdn.schoolwebmasters.com/accnt_1/site_13146/SmartMenus%20Keyboard%20Addon/sm-core-css.css	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_1/site_13146/SmartMenus%20Keyboard%20Addon/sm-core-css.css	(from https://www.valleyprepredlands.org/)
12:12:07	20046/20046	---M--	200	added ('OK')	text/css	etag:%22dc378175586f310bbb51e5eb8c71ed28%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/CSS%20and%20JS/main.css	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/CSS%20and%20JS/main.css	(from https://www.valleyprepredlands.org/)
12:12:09	28576/28576	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Feb%202017%2014:12:28%20GMT	https://tb2cdn.schoolwebmasters.com/accnt_1/site_13146/SmartMenus%20Keyboard%20Addon/jquery.smartmenus-and-keyboard.js	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_1/site_13146/SmartMenus%20Keyboard%20Addon/jquery.smartmenus-and-keyboard.js	(from https://www.valleyprepredlands.org/)
12:12:11	24709/24709	---M--	200	added ('OK')	image/png	etag:%22073514cbb19efd4cdc11423ac0c0eced%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_logo.png	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/Graphics/graphic_logo.png	(from https://www.valleyprepredlands.org/)
12:12:12	83095/83095	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js	C:/My%20Web%20Sites/new%20school/ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js	(from https://www.valleyprepredlands.org/)
12:12:13	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%221ec2621118f1b8ed3c68e10edf0941dd%22	https://use.fontawesome.com/2f7f3b6cb0.js	C:/My%20Web%20Sites/new%20school/use.fontawesome.com/2f7f3b6cb0.js	(from https://www.valleyprepredlands.org/)
12:12:14	9261/9261	---M--	200	added ('OK')	text/css	etag:%22c528aa86b2cb4fc2cc17a9ed5f53b588%22	https://tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/CSS%20and%20JS/modules.css	C:/My%20Web%20Sites/new%20school/tb2cdn.schoolwebmasters.com/accnt_369372/site_369373/CSS%20and%20JS/modules.css	(from https://www.valleyprepredlands.org/)
